CCH_Pounder;Joel_David_Moore;Wes_Studi
Janet_Leigh;Vera_Miles;John_Gavin
Adam_Sandler;Don_Cheadle;John_de_Lancie
Kristen_Stewart;William_Hurt;Hal_Holbrook
Shengyi_Huang;Chi_Ling_Chiu;Qiu_Yuen
Mustafa_Haidari;Shaun_Toub;Khalid_Abdalla
Naomi_Watts;Eddie_Marsan;Danny_Huston
Jim_Broadbent;Chazz_Palminteri;Dianne_Wiest
LeVar_Burton;Eric_McCormack;Scott_Wolf
Philip_Seymour_Hoffman;Jennifer_Jason_Leigh;Samantha_Morton
Minnie_Driver;Jada_Pinkett_Smith;Billy_Crudup
Christian_Bale;Emily_Watson;Sean_Pertwee
Toby_Jones;Sally_Hawkins;Alan_David
Mary_McDonnell;Michael_Spears;Maury_Chaykin
Scatman_Crothers;Shelley_Duvall;Joe_Turkel
Lea_Thompson;Thomas_F._Wilson;J.J._Cohen
Bunta_Sugawara;Ryûnosuke_Kamiki;Miyu_Irino
Emily_Watson;Sophie_Nélisse;Roger_Allam
Logan_Lerman;Sarah_Gadon;Tracy_Letts
Nicolas_Cage;Meryl_Streep;Roger_Willie
Johnny_Depp;Michael_Jeter;Ellen_Barkin
Shane_Black;Bill_Duke;Carl_Weathers
Jeffrey_Jones;F._Murray_Abraham;Tom_Hulce
Peter_Gallagher;Melinda_Clarke;Tate_Donovan
Emma_Stone;Naomi_Watts;Merritt_Wever
Christian_Clemenson;David_Alan_Basche;Susan_Blommaert
Denzel_Washington;Morgan_Freeman;Matthew_Broderick
Robert_De_Niro;Cathy_Moriarty;Frank_Vincent
James_Franco;Treat_Williams;Kate_Burton
Ian_Somerhalder;Hayden_Christensen;Kristin_Scott_Thomas
Joan_Allen;Kate_Burton;Henry_Czerny
Johnny_Depp;Bill_Murray;Martin_Landau
Julie_Christie;Brian_Blessed;Richard_Briers
Ulrich_Tukur;Burghart_Klaußner;Leonie_Benesch
Edgar_Ramírez;Nora_von_Waldstätten;Katharina_Schüttler
Emma_Stone;Joe_Lo_Truglio;Kevin_Corrigan
Don_Cheadle;Sophie_Okonedo;Hakeem_Kae-Kazim
Fionnula_Flanagan;Elaine_Cassidy;Eric_Sykes
Michael_Biehn;Carrie_Henn;Jenette_Goldstein
Jeremy_Brett;Rex_Harrison;Theodore_Bikel
Virginia_Madsen;Patrick_Gallagher;M.C._Gainey
Jamie_Lee_Curtis;Donald_Pleasence;P.J._Soles
Gary_Cole;Bridget_Fonda;Chelcie_Ross
Rufus_Sewell;Eddie_Marsan;Jake_Wood
Alan_Rickman;Kate_Winslet;Tom_Wilkinson
Frances_Fisher;Kim_Dickens;Ron_Eldard
Robin_Williams;Josh_Charles;Kurtwood_Smith
Bruno_Kirby;Gretchen_Palmer;Harley_Jane_Kozak
Charlotte_Rampling;James_Mason;Jack_Warden
Bérénice_Bejo;Ed_Lauter;Beth_Grant
Bruce_Willis;Bill_Murray;Bob_Balaban
Ivana_Baquero;Maribel_Verdú;Sergi_López
Bill_Bailey;Joe_Cornish;Billie_Whitelaw
Mike_Starr;Don_Pardo;Julie_Kavner
Denzel_Washington;Tom_Hanks;Jason_Robards
Cary-Hiroyuki_Tagawa;Sarah_Roemer;Joan_Allen
Steven_Van_Zandt;Trond_Fausa;Tommy_Karlsen
Macaulay_Culkin;Devin_Ratray;Catherine_O'Hara
Chen_Chang;Pei-Pei_Cheng;Sihung_Lung
Kevin_Spacey;Peter_Gallagher;Ara_Celi
Colin_Firth;Jennifer_Ehle;Derek_Jacobi
Oprah_Winfrey;Rae_Dawn_Chong;Dana_Ivey
Benedict_Cumberbatch;Rory_Kinnear;Allen_Leech
Sissy_Spacek;Beverly_D'Angelo;Levon_Helm
Catherine_O'Hara;Jeffrey_Jones;Glenn_Shadix
Robert_De_Niro;Meryl_Streep;John_Savage
Jake_Gyllenhaal;Anna_Kendrick;America_Ferrera
Eddie_Redmayne;Emily_Watson;Simon_McBurney
Claude_Rains;José_Ferrer;Jack_Hawkins
Robin_Wright;Carol_Kane;André_the_Giant
Denzel_Washington;Jurnee_Smollett-Bell;John_Heard
Ryan_Gosling;Albert_Brooks;Russ_Tamblyn
Scarlett_Johansson;Mark_Gatiss;Penelope_Wilton
Anthony_Hopkins;Peter_Vaughan;Ben_Chaplin
Don_Cheadle;Nicole_Ari_Parker;Nina_Hartley
Jeremy_Renner;Christian_Camargo;Brian_Geraghty
Bono;The_Edge;Larry_Mullen_Jr.
Robert_De_Niro;Bob_Hoskins;Jim_Broadbent
David_Ogden_Stiers;Nicole_de_Boer;Chris_Bruno
Philip_Seymour_Hoffman;Jeff_Bridges;Steve_Buscemi
Elizabeth_Berrington;Anna_Madeley;Eric_Godon
Levon_Helm;Dwight_Yoakam;Guillermo_Arriaga
Robert_Downey_Jr.;Corbin_Bernsen;Larry_Miller
Naomi_Watts;Robert_Forster;Laura_Harring
Anna_Silk;Tom_Hollander;Alessandro_Nivola
Brigitte_Helm;Gustav_Fröhlich;Rudolf_Klein-Rogge
Konstantin_Lavronenko;Vladimir_Garin;Nataliya_Vdovina
Bill_Murray;Chris_Elliott;Willie_Garson
Kristin_Scott_Thomas;Aidan_Quinn;Arben_Bajraktaraj
Clint_Eastwood;Morgan_Freeman;Frances_Fisher
Anil_Kapoor;Saurabh_Shukla;Ayush_Mahesh_Khedekar
Martin_Short;Andrea_Martin;Joe_Flaherty
Sylvester_Stallone;Brian_Dennehy;Chris_Mulkey
