Id,Label,timeset,att1,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality,Degree
67,Dennis Quaid,,Dennis Quaid,10,12.8,15,0.124547,0.151755,0,0,1,1,0.06321,2
68,Derek Jacobi,,Derek Jacobi,1,14,12,0.146823,0.170034,0,0,1,1,0.067405,2
69,Djimon Hounsou,,Djimon Hounsou,6,49,13,0.135668,0.188711,1886,0,0.2,3,0.20449,6
70,Dominic Cooper,,Dominic Cooper,1,13.8,11,0.156339,0.180746,0,0,1,1,0.101218,2
71,Dominic Monaghan,,Dominic Monaghan,3,13.4,16,0.123485,0.163259,0,0,1,1,0.101803,2
72,Don Cheadle,,Don Cheadle,11,14.4,10,0.160725,0.185804,0,0,1,1,0.13966,2
73,Don Rickles,,Don Rickles,13,16.6,13,0.140593,0.193157,0,0,1,1,0.379111,2
74,Donald Glover,,Donald Glover,2,16.2,12,0.146044,0.182598,0,0,1,1,0.136604,2
75,Dougray Scott,,Dougray Scott,12,12.2,13,0.128565,0.155682,0,0,1,1,0.085976,2
76,Dwayne Johnson,,Dwayne Johnson,6,27.2,13,0.134606,0.177499,546,0,0.333333,2,0.141958,4
77,Ed Skrein,,Ed Skrein,3,16.2,16,0.118688,0.148654,0,0,1,1,0.049408,2
78,Eddie Marsan,,Eddie Marsan,11,35.4,10,0.16369,0.20344,3900.5,0,0.3,3,0.239912,5
79,Edgar Ramírez,,Edgar Ramírez,2,16.2,12,0.14651,0.185023,0,0,1,1,0.144539,2
80,Elizabeth Daily,,Elizabeth Daily,5,13,17,0.117672,0.160327,0,0,1,1,0.11231,2
81,Elliott Gould,,Elliott Gould,4,15.6,16,0.102041,0.131458,0,0,1,1,0.036789,2
82,Emily Ratajkowski,,Emily Ratajkowski,10,16.2,15,0.124547,0.151755,0,0,1,1,0.06321,2
83,Emma Stone,,Emma Stone,3,51.2,14,0.14234,0.18752,3594.154762,0,0.190476,4,0.134728,7
84,Emma Watson,,Emma Watson,8,14.8,15,0.125285,0.156694,0,0,1,1,0.116484,2
85,Eric Stonestreet,,Eric Stonestreet,9,13.6,16,0.123263,0.155251,0,0,1,1,0.062192,2
86,Fiona Shaw,,Fiona Shaw,8,22.5,15,0.125801,0.162755,12,0,0.666667,2,0.136002,3
87,Fran Drescher,,Fran Drescher,13,13.4,14,0.121306,0.155805,0,0,1,1,0.093128,2
88,Frank Welker,,Frank Welker,5,16,17,0.114536,0.147949,0,0,1,1,0.062611,2
89,Fred Willard,,Fred Willard,13,16.8,14,0.128145,0.172214,0,0,1,1,0.235212,2
90,Garry Shandling,,Garry Shandling,1,15.6,11,0.155192,0.179077,0,0,1,1,0.09367,2
91,Gary Oldman,,Gary Oldman,8,43.6,13,0.161765,0.219523,5062.32619,0,0.2,3,0.393495,6
92,George Carlin,,George Carlin,13,14.4,14,0.128145,0.172214,0,0,1,1,0.235212,2
93,Gerard Butler,,Gerard Butler,6,39.4,14,0.119878,0.15846,681.5,0,0.3,3,0.083809,5
94,Giancarlo Giannini,,Giancarlo Giannini,2,13.4,14,0.114155,0.136954,0,0,1,1,0.024725,2
95,Gloria Stuart,,Gloria Stuart,7,15.4,16,0.110887,0.128758,0,0,1,1,0.022459,2
96,Hal Holbrook,,Hal Holbrook,7,14.8,15,0.124266,0.144943,0,0,1,1,0.028241,2
97,Haley Joel Osment,,Haley Joel Osment,13,16.2,15,0.108438,0.133917,0,0,1,1,0.03026,2
98,Hana Mae Lee,,Hana Mae Lee,8,13,17,0.100917,0.121978,0,0,1,1,0.03092,2
99,Harrison Ford,,Harrison Ford,10,123.9,13,0.164671,0.237829,7312.345238,0,0.075,9,0.733449,16
100,Hayden Christensen,,Hayden Christensen,0,13.4,12,0.16253,0.189668,0,0,1,1,0.092132,2
101,Hayley Atwell,,Hayley Atwell,1,51.3,11,0.171875,0.213218,5595.095238,0,0.190476,4,0.248689,7
102,Heath Ledger,,Heath Ledger,7,18,14,0.147216,0.178211,0,0,1,1,0.083156,2
103,Helen McCrory,,Helen McCrory,2,15.6,13,0.128505,0.157897,0,0,1,1,0.053131,2
104,Hugh Jackman,,Hugh Jackman,5,71,16,0.129351,0.194993,3281.628571,0,0.111111,5,0.282235,10
105,Ian McDiarmid,,Ian McDiarmid,10,29.8,12,0.179974,0.224785,6297.728571,0,0.333333,2,0.297751,4
106,J.K. Simmons,,J.K. Simmons,12,12.4,14,0.117271,0.139465,0,0,1,1,0.026699,2
107,Jürgen Prochnow,,Jürgen Prochnow,13,13.2,13,0.137707,0.181995,0,0,1,1,0.232683,2
108,Jack Davenport,,Jack Davenport,0,16.2,14,0.129047,0.153969,0,0,1,1,0.075238,2
109,Jack McBrayer,,Jack McBrayer,9,31,15,0.134936,0.170667,1084,0,0.333333,2,0.09024,4
110,Jack Palance,,Jack Palance,10,15.2,15,0.124773,0.152725,0,0,1,1,0.061026,2
111,Jada Pinkett Smith,,Jada Pinkett Smith,4,27.2,17,0.092905,0.120684,272.5,0,0.5,3,0.038068,4
112,Jake Gyllenhaal,,Jake Gyllenhaal,10,12.8,15,0.124547,0.151755,0,0,1,1,0.06321,2
113,James Coburn,,James Coburn,13,16.2,13,0.13253,0.180204,0,0,1,1,0.264592,2
114,James Frain,,James Frain,11,13.6,11,0.153203,0.179335,0,0,1,1,0.080677,2
115,James Franco,,James Franco,12,40.4,13,0.132722,0.168882,3214.3,0,0.2,3,0.078388,6
116,Jami Gertz,,Jami Gertz,5,12.6,18,0.100475,0.123382,0,0,1,1,0.022613,2
117,Janeane Garofalo,,Janeane Garofalo,13,16,14,0.128145,0.172214,0,0,1,1,0.235212,2
118,Jason Statham,,Jason Statham,6,14.4,13,0.134343,0.17265,0,0,1,1,0.125036,2
119,Jeff Bridges,,Jeff Bridges,11,44.8,10,0.180683,0.226937,14005.733333,0,0.2,3,0.316957,6
